                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75634,                 1.0522,                 1.0791,                0.40829,                0.53683,                0.43025,                0.30968,                 1.0069,                 1.6764,                  1.408,             0.00017148,             0.00017148,             0.00017148
                      2,                0.63431,                0.77568,                 1.0111,                0.83905,                   0.46,                0.42777,                 0.3321,                0.80194,                 1.6485,                 1.2664,             0.00035548,             0.00035548,             0.00035548
                      3,                0.62958,                0.75927,                 1.0057,                0.88897,                0.43396,                0.43863,                0.34046,                0.80597,                 1.7174,                  1.234,             0.00053764,             0.00053764,             0.00053764
                      4,                0.66032,                0.76697,                 1.0002,                0.90559,                0.42883,                0.43598,                0.33748,                0.90296,                 1.6436,                 1.3017,             0.00071797,             0.00071797,             0.00071797
                      5,                0.62246,                0.68847,                0.98349,                 0.8917,                   0.38,                0.39165,                0.28911,                 1.0006,                 1.8554,                 1.4319,             0.00089645,             0.00089645,             0.00089645
                      6,                0.67884,                 0.7155,                 1.0192,                0.81747,                   0.38,                0.40009,                 0.2936,                 1.0367,                 1.7683,                 1.4753,              0.0010731,              0.0010731,              0.0010731
                      7,                0.61881,                0.72891,                0.98063,                0.52717,                0.44667,                0.45692,                0.33696,                 1.0646,                 1.4825,                 1.4299,              0.0012479,              0.0012479,              0.0012479
                      8,                0.68861,                0.76521,                 1.0296,                0.80125,                0.34743,                0.38939,                0.25771,                  1.178,                 1.9578,                 1.5113,              0.0013795,              0.0013795,              0.0013795
                      9,                 0.6479,                 0.7285,                0.99759,                0.80911,                0.36038,                0.44949,                0.34751,                0.96559,                 1.5612,                 1.3181,              0.0013795,              0.0013795,              0.0013795
                     10,                0.63014,                0.71501,                0.98728,                 0.8347,                0.44595,                0.46702,                0.34765,                0.97633,                 1.5924,                 1.3836,              0.0013724,              0.0013724,              0.0013724
                     11,                0.66761,                 0.6776,                 1.0111,                0.92707,                0.45541,                0.48947,                0.36079,                0.93822,                 1.5459,                 1.3922,              0.0013653,              0.0013653,              0.0013653
                     12,                0.66327,                0.73363,                 1.0065,                 0.8635,                0.40381,                0.49627,                0.34116,                 1.0716,                 1.8447,                 1.5284,              0.0013583,              0.0013583,              0.0013583
                     13,                0.63951,                0.66987,                 1.0022,                0.87339,                0.43333,                 0.4169,                 0.3037,                 1.1252,                 2.2165,                 1.4938,              0.0013512,              0.0013512,              0.0013512
                     14,                0.61601,                0.64433,                 0.9816,                0.89167,                0.45409,                0.46511,                0.35365,                0.97366,                 1.4948,                 1.3913,              0.0013441,              0.0013441,              0.0013441
                     15,                0.63402,                0.63798,                0.98141,                0.54162,                0.43199,                0.43885,                0.31046,                 1.0628,                 1.6156,                 1.4675,               0.001337,               0.001337,               0.001337
                     16,                0.58755,                0.59762,                0.96118,                0.88684,                0.49722,                0.50031,                0.38561,                0.90951,                 1.3184,                 1.3292,                0.00133,                0.00133,                0.00133
                     17,                0.61932,                0.61078,                0.98447,                0.54574,                0.56349,                0.50271,                0.37137,                0.90323,                 1.3592,                  1.318,              0.0013229,              0.0013229,              0.0013229
                     18,                0.59666,                0.58074,                0.96536,                0.51854,                 0.5873,                0.54515,                0.41011,                0.94655,                 1.2002,                 1.4774,              0.0013158,              0.0013158,              0.0013158
                     19,                0.58632,                0.57201,                 0.9721,                0.57211,                0.56349,                0.54032,                0.41888,                 0.8978,                 1.5231,                 1.3901,              0.0013087,              0.0013087,              0.0013087
                     20,                0.60401,                0.58543,                0.96761,                0.53049,                 0.5873,                0.62439,                0.48304,                0.97551,                 1.2122,                 1.3965,              0.0013017,              0.0013017,              0.0013017
                     21,                0.59442,                0.58079,                0.96255,                0.61743,                0.58444,                0.64835,                0.53995,                0.87099,                 1.1721,                 1.3259,              0.0012946,              0.0012946,              0.0012946
                     22,                 0.5841,                0.56182,                0.97219,                0.59556,                0.53704,                 0.5408,                0.44919,                0.79362,                 1.2698,                 1.2542,              0.0012875,              0.0012875,              0.0012875
                     23,                0.59836,                0.60233,                0.96985,                0.95057,                0.48869,                0.54744,                0.43305,                0.87294,                 1.1224,                 1.2784,              0.0012805,              0.0012805,              0.0012805
                     24,                0.61988,                0.61373,                0.99678,                 0.9148,                0.47333,                0.43468,                0.34253,                 0.8626,                 1.3483,                 1.3471,              0.0012734,              0.0012734,              0.0012734
                     25,                0.55948,                0.54269,                0.96044,                0.92129,                0.47333,                0.49167,                0.40192,                0.82346,                 1.2653,                 1.2947,              0.0012663,              0.0012663,              0.0012663
                     26,                0.58905,                0.63046,                0.96879,                0.54615,                0.56857,                0.55248,                0.44018,                0.85144,                 1.0421,                 1.3082,              0.0012592,              0.0012592,              0.0012592
                     27,                0.62267,                0.62123,                0.98269,                0.51298,                0.50308,                0.50454,                0.38208,                0.86666,                 1.1644,                 1.2341,              0.0012522,              0.0012522,              0.0012522
                     28,                0.63208,                0.61842,                 0.9712,                 0.8332,                0.44667,                0.45403,                0.35571,                0.88805,                 1.4054,                 1.3176,              0.0012451,              0.0012451,              0.0012451
                     29,                 0.5952,                0.59762,                0.96676,                0.85826,                0.38857,                0.38908,                0.29082,                0.91281,                 1.6115,                 1.3591,               0.001238,               0.001238,               0.001238
                     30,                0.59578,                0.59242,                0.95788,                0.87722,                0.47333,                 0.5852,                0.43815,                0.78346,                 1.2414,                 1.2891,              0.0012309,              0.0012309,              0.0012309
                     31,                0.58343,                0.55794,                0.96078,                0.79625,                0.56063,                 0.5838,                0.43628,                0.85915,                 1.1245,                  1.287,              0.0012239,              0.0012239,              0.0012239
                     32,                0.57144,                0.54445,                0.96115,                0.73364,                0.58444,                0.53876,                0.44463,                0.78445,                 1.1746,                 1.2299,              0.0012168,              0.0012168,              0.0012168
                     33,                0.57118,                0.54235,                0.96732,                0.55484,                 0.4857,                0.50179,                0.39729,                 0.7527,                  1.202,                 1.2065,              0.0012097,              0.0012097,              0.0012097
                     34,                0.54543,                0.51988,                0.94603,                0.83706,                0.46113,                0.44917,                0.33582,                0.86295,                 1.4082,                 1.3203,              0.0012026,              0.0012026,              0.0012026
                     35,                 0.5727,                0.53999,                0.95015,                 0.8515,                0.46339,                 0.4657,                0.34731,                0.85149,                 1.3734,                 1.2869,              0.0011956,              0.0011956,              0.0011956
                     36,                0.57638,                0.51956,                0.95649,                0.90995,                0.47026,                0.48131,                0.38156,                0.81931,                 1.2761,                 1.2265,              0.0011885,              0.0011885,              0.0011885
                     37,                0.56879,                0.54367,                 0.9605,                 0.5774,                0.47714,                0.47103,                0.36239,                0.82959,                 1.3805,                 1.2727,              0.0011814,              0.0011814,              0.0011814
                     38,                0.59277,                0.57613,                0.96467,                0.91896,                0.38664,                0.45668,                0.34804,                0.91613,                 1.3797,                 1.3141,              0.0011744,              0.0011744,              0.0011744
                     39,                 0.5635,                0.49878,                0.95991,                0.90438,                0.43158,                0.46178,                0.38301,                0.92843,                 1.3391,                 1.3104,              0.0011673,              0.0011673,              0.0011673
                     40,                0.55878,                0.51074,                0.95993,                0.90108,                0.47333,                0.44685,                0.36966,                0.90807,                 1.2474,                 1.3234,              0.0011602,              0.0011602,              0.0011602
                     41,                   0.54,                0.49246,                0.94465,                 0.8437,                   0.46,                0.45151,                0.36004,                0.89258,                 1.1438,                 1.3082,              0.0011531,              0.0011531,              0.0011531
                     42,                0.53264,                0.49681,                0.93289,                0.55337,                 0.4935,                0.54971,                0.44611,                0.81214,                0.93109,                  1.213,              0.0011461,              0.0011461,              0.0011461
                     43,                0.55149,                0.52145,                0.95802,                0.62559,                0.61476,                0.60681,                0.49074,                0.70782,                0.91203,                 1.1436,               0.001139,               0.001139,               0.001139
                     44,                0.54765,                0.48295,                0.94129,                0.56191,                0.72222,                0.59454,                0.45253,                0.83234,                 1.0244,                 1.2552,              0.0011319,              0.0011319,              0.0011319
                     45,                0.51708,                0.48526,                0.93464,                0.71981,                0.59778,                0.70612,                0.49106,                0.79663,                0.94737,                 1.2284,              0.0011248,              0.0011248,              0.0011248
                     46,                 0.5329,                0.49935,                0.92704,                0.93869,                0.48557,                0.57957,                0.46444,                0.81892,                0.87765,                 1.3087,              0.0011178,              0.0011178,              0.0011178
                     47,                0.54879,                0.46965,                0.94963,                0.91672,                0.54525,                0.57637,                0.48443,                 0.7193,                0.86802,                 1.2342,              0.0011107,              0.0011107,              0.0011107
                     48,                0.50088,                0.45499,                0.93606,                0.92902,                0.47333,                 0.5123,                0.40431,                0.73871,                 1.1392,                 1.2447,              0.0011036,              0.0011036,              0.0011036
